% Device,CC1747002
% File name,CC1747002_20240418_064336
% Cast time (UTC),2024-04-18 06:43:36
% Cast time (local),2024-04-18 06:43:36
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,60
% Default altitude,10
% Start latitude,59.9050881
% Start longitude,10.650007
% Start altitude,46.2599983215332
% Start GPS horizontal error(Meter),1.6299999952316284
% Start GPS vertical error(Meter),2.9300000667572021
% Start GPS number of satellites,5
% End latitude,59.9052148
% End longitude,10.6501551
% End altitude,52.580001831054688
% End GPS horizontal error(Meter),7.0900001525878906
% End GPS vertical error(Meter),9.7600002288818359
% End GPS number of satellites,5
% Cast duration (Seconds),148.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15041136058905347,6.0232219696044922,20590.480468750004,33185.593180688746,19.906680988947059,1455.8503437426889,1015.6496880545724
0.44999999999999996,0.45120678960872007,6.0842314949166472,20744.59459402673,33368.356874801924,20.033283919212984,1456.2662346893289,1015.7452719157596
0.74999999999999989,0.75194217709952971,6.0882349757424441,21154.76087011072,34023.740631491906,20.463816829485346,1456.8273396577563,1016.0851371334886
1.05,1.0525986039006519,6.1085308379918493,21400.315798758067,34396.217407706295,20.711028423970834,1457.225773361022,1016.2792326332753
1.35,1.3531935511860338,6.1471556412812243,21692.071213888095,34821.9135379705,20.995870344740172,1457.7466468756775,1016.5011990813935
1.65,1.6536769254896744,6.285202323909072,22428.799884547971,35845.700552505652,21.688726000638781,1459.1856043004668,1017.0345272753615
1.9500000000000002,1.9540593853139434,6.3826926845797507,22678.147668276408,36131.615435630833,21.889948865889782,1459.8405395271589,1017.1846275977551
2.25,2.2543935565473854,6.3921437916952017,22896.840085197753,36469.060917169845,22.114890414122694,1460.1652437657897,1017.361984605236
2.55,2.5546830742612854,6.3302920888484584,23000.65751550124,36706.739679085178,22.264921889996547,1460.1055307105494,1017.487545631507
2.85,2.8549311486066871,6.2256068004926659,23108.358315892274,37002.256615118327,22.447875299274681,1459.9118395234036,1017.6432455361238
3.15,3.155141630803171,6.1603929919982985,23177.356790488557,37190.4115529613,22.564395833640333,1459.7958886437443,1017.74276201471
3.4499999999999997,3.4553275269476988,6.1067679130060872,23216.554042793097,37317.528628691121,22.641785173664676,1459.6781179577977,1017.8103326409787
3.75,3.7554932819644984,6.0631565952271318,23265.14728482486,37448.137657071784,22.722751973099971,1459.6057292612338,1017.8797338973595
4.05,4.0556406385851229,6.0255685432949866,23301.861979510617,37552.675218495613,22.78715131127117,1459.5371665286689,1017.9355014534017
4.35,4.3557727799311188,5.98743432520181,23328.642367769582,37642.100541374282,22.841402565480028,1459.453535161181,1017.9833259000419
4.6499999999999995,4.6558886438742793,5.9472652613077308,23371.734946746728,37760.581992308667,22.914660784869508,1459.3853185586972,1018.0463107924187
4.9499999999999993,4.9559881532380388,5.9013801608320611,23393.155018556365,37851.311004237155,22.968660122152691,1459.2692889732955,1018.0946692778888
5.2499999999999991,5.2560713310791662,5.83429888099724,23415.749166025063,37970.296092018289,23.038490450379225,1459.0856840193408,1018.1575114534242
5.55,5.556136926815495,5.7758468063128809,23437.548543560257,38077.828842637471,23.101800781813257,1458.929144915588,1018.2143678414336
