% Device,CC1747002
% File name,CC1747002_20240418_080126
% Cast time (UTC),2024-04-18 08:01:26
% Cast time (local),2024-04-18 08:01:26
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,60
% Default altitude,10
% Start latitude,59.8730917
% Start longitude,10.6875049
% Start altitude,19.020000457763672
% Start GPS horizontal error(Meter),5.0999999046325684
% Start GPS vertical error(Meter),6
% Start GPS number of satellites,4
% End latitude,59.8730618
% End longitude,10.6868818
% End altitude,74.790000915527344
% End GPS horizontal error(Meter),5.96999979019165
% End GPS vertical error(Meter),6.7300000190734863
% End GPS number of satellites,4
% Cast duration (Seconds),159
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15032437256787093,7.1286956613403554,22061.617187499996,34333.197681047131,20.783877085679556,1461.4539114587205,1016.2313226428291
0.44999999999999996,0.45095974459022653,7.1131446900659077,22115.423910799251,34433.600515057282,20.84860834495694,1461.4766364878776,1016.2851367258887
0.74999999999999989,0.7515879017480086,7.1267707114210124,22132.697959522488,34445.880288326567,20.858097324094437,1461.5480352146512,1016.2925490184035
1.05,1.0522014421517909,7.16735052500322,22273.790993530551,34621.73699418833,20.97885081536861,1461.8657322817467,1016.3843565497717
1.35,1.3527496277052697,7.094074676709579,22651.988084323664,35289.984697334236,21.414175753671532,1462.1169782197985,1016.7349999752678
1.65,1.6532096685776567,7.053464483409793,22923.407662931208,35758.08111911879,21.720627680809386,1462.3395144010076,1016.9811578035761
1.9500000000000002,1.9536072960758704,7.0109155295545094,23107.192787892218,36092.677147203416,21.938303603861335,1462.4440538797544,1017.1579140966013
2.25,2.2539556717635509,6.9423230026064484,23246.88041829448,36388.83811987871,22.127465505416922,1462.4084816408397,1017.3151026594753
2.55,2.5542616477676137,6.7921544396071543,23292.158307051766,36631.928092979506,22.27156254671419,1461.9878562628462,1017.445539568518
2.85,2.8545171900344,6.588049082672776,23394.508867135872,37030.632702113653,22.512224879323327,1461.4675980231984,1017.6572792896914
3.15,3.154723249062636,6.4009969394178823,23402.35630167606,37263.715459140287,22.643935196475883,1460.8775042209518,1017.7813585422634
3.4499999999999997,3.4549013458641089,6.3203275177748122,23419.443980099692,37386.971714789317,22.715594404122758,1460.6434826081297,1017.8472652586592
3.75,3.7550559374052552,6.2738228037675308,23495.289809542086,37563.827673014173,22.827222504856678,1460.5984531929892,1017.94115794328
4.05,4.0551869331912105,6.2099543417455418,23525.21127602191,37688.6345593836,22.901889567781531,1460.4361128263868,1018.0076992254191
4.35,4.3553008456959814,6.127138985138834,23520.749918884998,37781.740766658011,22.952858126969073,1460.1662395384442,1018.057434844867
4.6499999999999995,4.6553974469488759,6.0371731388046941,23532.592525558444,37910.334843182711,23.026343511475233,1459.894720570285,1018.1255381970019
4.9499999999999993,4.955478731848876,6.0049266096589262,23549.739532556123,37977.415378270409,23.066537060041988,1459.8177523230486,1018.1617477019084
5.2499999999999991,5.2555442583656813,5.98049313731635,23613.948027024362,38110.994428589482,23.152024513972492,1459.8296757653209,1018.2328650157001
5.55,5.5555903734777115,5.9625280851045614,23670.95730671833,38225.16889069201,23.225476613987951,1459.8530349812638,1018.2938774119649
5.85,5.85561766886157,5.9179624436434262,23715.02536660467,38351.533368073484,23.303392996456452,1459.7727238182224,1018.3609964347198
6.1499999999999995,6.1556195744430839,5.7954646274609614,23745.411855911185,38553.423601761315,23.420673352288393,1459.4209792968804,1018.4666335118081
6.4499999999999993,6.45558388852662,5.6716214133775953,23826.098791314042,38840.6248078593,23.594205103632078,1459.1333809186453,1018.6166433825265
6.7499999999999991,6.7555113337311417,5.6178566841779753,23901.522922629112,39031.99882534628,23.713769263147668,1459.0667050256125,1018.7174243553579
7.0499999999999989,7.0554155754400467,5.576510120967531,23935.327996830445,39140.0586629032,23.779601158134362,1458.983529026774,1018.7746544602065
7.35,7.3553025622763233,5.5312728486857683,23969.719405590662,39254.372925075171,23.848983351170048,1458.8886122305228,1018.8350442300437
7.6499999999999995,7.6551726582938713,5.4246495549251916,23950.864357032431,39360.953548198268,23.904023866642067,1458.5207735235658,1018.8898135036911
7.9499999999999993,7.9550286465460411,5.3947910848282588,23974.7220547302,39438.866330450488,23.951307175425313,1458.4613422137818,1018.9313021574665
8.25,8.2548719077102444,5.3806687600347844,24014.974635467097,39523.446348650432,24.005380384343116,1458.4758379206287,1018.9766973731762
8.5499999999999989,8.5547037544857254,5.3679931117257595,24041.462160308787,39583.554421687892,24.043376098131429,1458.4760290645891,1019.0092701759214
8.85,8.85452554710155,5.33883387707914,24059.515538137821,39651.351854223183,24.083986968061065,1458.4109856238715,1019.0454256786854
9.1499999999999986,9.1543382508058713,5.31203074690642,24067.614969422335,39699.773285362324,24.112032857051879,1458.3398018203009,1019.0714409228881
9.45,9.4541373814452125,5.2182066102648195,24071.4615584776,39829.401309177571,24.183807018861359,1458.044638541618,1019.1380877872859
9.75,9.7539202133293976,5.1480542315312787,24067.766223836374,39915.952848897876,24.230399607998965,1457.8157356562265,1019.1826410583808
10.049999999999999,10.053687280313037,5.0708824061449977,24079.789827431308,40038.382482767774,24.299638423823783,1457.5857500875561,1019.2456719663775
10.35,10.353435647881197,5.0038514907380067,24101.034637998491,40163.234785771288,24.371953817620906,1457.401679873376,1019.3101928022514
10.649999999999999,10.653158167248012,4.9218388039613981,24164.343119273497,40379.107844258462,24.502284309120082,1457.2280479034123,1019.4218689725715
10.95,10.952848300301433,4.8254900375122416,24213.194581783308,40591.444685954506,24.627717976443279,1456.9875122969033,1019.5308971792088
11.25,11.25250912884178,4.7499684839414309,24256.77443188355,40767.7313086516,24.732380677381343,1456.8076347348426,1019.6216481041377
11.549999999999999,11.552137348636686,4.6950807576744484,24361.817216391446,41019.954475280116,24.890887821660275,1456.7828752533787,1019.7532111742721
11.85,11.851726025730956,4.6167902817574706,24455.57742785677,41286.677582547214,25.054979261259962,1456.6663968854607,1019.8912132488142
