% Device,CC1747002
% File name,CC1747002_20240418_071208
% Cast time (UTC),2024-04-18 07:12:08
% Cast time (local),2024-04-18 07:12:08
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,60
% Default altitude,10
% Start latitude,59.8802339
% Start longitude,10.646497
% Start altitude,32.869998931884766
% Start GPS horizontal error(Meter),3.380000114440918
% Start GPS vertical error(Meter),3.9900000095367432
% Start GPS number of satellites,5
% End latitude,59.8802781
% End longitude,10.6465679
% End altitude,24.1299991607666
% End GPS horizontal error(Meter),11.380000114440918
% End GPS vertical error(Meter),19.280000686645508
% End GPS number of satellites,4
% Cast duration (Seconds),134.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15048068176930876,5.4408045914844374,19651.55215814761,32278.306079407914,19.247538173794783,1452.5911567601586,1015.1795681455983
0.44999999999999996,0.45142246458555718,5.6530210545079544,19866.96261553865,32406.206520738575,19.355205614378008,1453.6218044009033,1015.2486138971357
0.74999999999999989,0.75231152832204751,5.7899669958062328,20322.009990313061,33001.025939847605,19.759005931245778,1454.7061503393463,1015.556638925311
1.05,1.0531156917208422,5.8919898413677458,20705.531576480484,33512.7838685767,20.105600845099879,1455.5706214779677,1015.82216950546
1.35,1.3538580103580991,5.9380691601737405,20917.497385152234,33805.434458203214,20.302737458993509,1456.01407235022,1015.9747336301142
1.65,1.6545588965104612,5.9929344262029094,21106.065990427236,34049.802610144521,20.469482413829013,1456.4553045102698,1016.1025049541169
1.9500000000000002,1.9551792692357097,6.0685648756788559,21656.086717540966,34852.087317515296,21.006143049886962,1457.445601941381,1016.5194350652448
2.25,2.2556314268138475,6.10218487363789,22541.271656704736,36237.440791194451,21.925199561311896,1458.741267981882,1017.2410693827517
2.55,2.5559207299408921,6.1879265782542472,23057.514064918334,36965.448804466476,22.418715976484524,1459.7163050504651,1017.6225934897075
2.85,2.8561278656221876,6.2526390926953042,23313.663702658185,37298.712011983815,22.648394652146248,1460.2734608155074,1017.7983453293755
3.15,3.1563024512282865,6.2813464442665552,23387.632655354395,37382.7141632534,22.707862589234111,1460.4699713045734,1017.8436804452913
3.4499999999999997,3.4564590695255353,6.2864442779597542,23481.755105117965,37527.043496055048,22.804473237116845,1460.6165921340989,1017.9205864498729
3.75,3.7566030577384062,6.2814687055670237,23487.368122175594,37541.984270699628,22.813669906632214,1460.6126721631645,1017.9297289579992
4.05,4.0567441039540961,6.2678214846620044,23488.938944853417,37560.881810035258,22.824376993043515,1460.5752638875688,1017.9409283593818
4.35,4.3568805298708062,6.2507896410079473,23499.100407126385,37597.61061571764,22.846510792398426,1460.5383381568795,1017.961455659306
4.6499999999999995,4.6570052901110364,6.1884844764783979,23521.150823252308,37708.069529623019,22.911798748364891,1460.3705203473796,1018.0204505182705
4.9499999999999993,4.9571070814802374,6.0995915844647639,23568.486685338881,37891.955303220268,23.022346388221756,1460.1503397657339,1018.1176726174329
5.2499999999999991,5.2571837936478394,6.0517877744460566,23617.976846671314,38029.979172580257,23.107726440052474,1460.0664949505406,1018.1910069673965
5.55,5.5572419263461974,6.0112070777435225,23648.803866308732,38129.447536534746,23.168365610373058,1459.9810864763622,1018.2441450535323
5.85,5.8572828254284746,5.9570707548074608,23682.389090198056,38250.371422044693,23.241401477415721,1459.8554888345389,1018.3083618528233
6.1499999999999995,6.1573064941414275,5.9011261388080181,23701.364918769912,38350.325506428569,23.300158206214846,1459.7043119062582,1018.3614901140593
6.4499999999999993,6.4573123423520977,5.8169694750815095,23716.720022432735,38479.968060470688,23.37467316190823,1459.4565567571638,1018.4297284438336
6.7499999999999991,6.7572965651411252,5.7036344340989826,23722.460260517371,38631.3553716813,23.459363833827744,1459.1006104820035,1018.5087066354047
7.0499999999999989,7.0572616883753057,5.6422353381213775,23734.45342058489,38728.332249079336,23.515029352985497,1458.9218890206837,1018.5598103153889
7.35,7.3572130262909941,5.6185043164957458,23765.125256765128,38808.4359234387,23.56481285419612,1458.8913427206023,1018.6027134822373
7.6499999999999995,7.6571468798122817,5.54850116983372,23799.669980908417,38953.907834290585,23.651368506692013,1458.7155497886588,1018.6789535480375
7.9499999999999993,7.9570541032399218,5.4236990311649764,23826.022871498059,39157.011852982629,23.768046223522934,1458.3499560942473,1018.784001917566
8.25,8.2569275778356133,5.3041022213765965,23878.382032830286,39397.9367189212,23.910287759270823,1458.0371435257821,1018.9086457345476
8.5499999999999989,8.5567703604945233,5.2492019795393112,23932.561262582931,39558.996099750038,24.008968481734335,1457.9380657681707,1018.9929628936274
8.85,8.8565873448479984,5.18825132670802,23990.045857143359,39734.076673594856,24.115966212366235,1457.824095433358,1019.0843881092046
9.1499999999999986,9.1563791745030869,5.1160088225766192,24025.5036065704,39888.259676294758,24.207196310932886,1457.6427468274117,1019.164358139957
9.45,9.4561429192411115,5.0369151122845119,24091.363341329492,40102.925435702608,24.337441084429091,1457.4818125073341,1019.2757417921441
9.75,9.75587277963279,4.9813647518738859,24183.854696435646,40331.477397012284,24.480544891945804,1457.4354955366357,1019.3951908405759
10.049999999999999,10.05557448341459,4.93483804531404,24229.351122889711,40470.155686515471,24.565218918168028,1457.3527498535646,1019.4676549914001
10.35,10.355255214510091,4.9003564599376741,24281.75763530597,40604.461802721577,24.6488917645618,1457.3191656898732,1019.5382643468126
10.649999999999999,10.654913598646468,4.8462328733573932,24331.676884556349,40761.721902726829,24.744581306208286,1457.2183037036459,1019.6201013147211
10.95,10.954547911973117,4.7902169703286388,24380.480625460037,40920.280388933126,24.840737073806078,1457.1099079064165,1019.7024651543485
11.25,11.254157897157244,4.7339373659993029,24430.228576047113,41081.388373379421,24.938455830229483,1457.00220482696,1019.7860802816064
11.549999999999999,11.553741454204753,4.6592613858099874,24480.255972955074,41269.159832596626,25.050701981902364,1456.8352572574127,1019.8827695421069
11.85,11.853297859462016,4.5773331909285329,24515.191588023292,41442.532073077811,25.151942108667075,1456.623302748764,1019.9713423773178
12.149999999999999,12.152818211221888,4.4836684373734768,24617.650373964454,41747.943316916317,25.338833896416602,1456.4704231235191,1020.1287040242365
12.45,12.452292621885691,4.417983155700095,24739.407036629807,42048.101845887832,25.526973678261427,1456.4372231587488,1020.284692734718
12.75,12.751718600630346,4.3481702893410166,24877.726123745771,42383.777043813076,25.737931268704049,1456.415540997031,1020.4591298913068
13.049999999999999,13.051087762099453,4.26190724751771,25045.264459255966,42794.996661368605,25.996106317075462,1456.3842630675224,1020.6724006528195
13.35,13.350386190664459,4.1963822883382544,25289.943243487549,43310.063201886776,26.327331258815938,1456.5343965621371,1020.9419097776547
