% Device,CC1747002
% File name,CC1747002_20230427_121936
% Cast time (UTC),2023-04-27 12:19:36
% Cast time (local),2023-04-27 12:19:36
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8766704
% Start longitude,10.6772262
% Start altitude,38.75
% Start GPS horizontal error(Meter),1.5700000524520874
% Start GPS vertical error(Meter),2.0699999332427979
% Start GPS number of satellites,8
% End latitude,59.8765537
% End longitude,10.6773937
% End altitude,38.549999237060547
% End GPS horizontal error(Meter),3.4600000381469727
% End GPS vertical error(Meter),5.1700000762939453
% End GPS number of satellites,7
% Cast duration (Seconds),254
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.15004060027905658,7.8650877016991565,23.350831257828247,1018.1593369206108
0.44999999999999996,0.45010758724303662,7.8198482921117289,23.370090949894617,1018.1812628570623
0.74999999999999989,0.75017106533589151,7.8039686446704906,23.400328631473123,1018.2082429789526
1.05,1.0502284404645834,7.8010607078488192,23.417032917477737,1018.223067810894
1.35,1.3502833506363559,7.8028920962785406,23.418456853571261,1018.2253586900957
1.65,1.65034078444264,7.79578192049167,23.391276541437584,1018.2063270104145
1.9500000000000002,1.9503992962093095,7.7873692512512207,23.403659903694741,1018.2184292563352
2.25,2.25045168286949,7.781887866676815,23.439164404979365,1018.2482842823498
2.55,2.5504992898290437,7.784834074570937,23.441628071255835,1018.2512558146059
2.85,2.8505424557349053,7.7722650546862839,23.47311200578612,1018.2788141422642
3.15,3.1505749801242069,7.7502927622061639,23.525504604785795,1018.3238742399001
3.4499999999999997,3.4505861345648414,7.7196275129562517,23.647223010381467,1018.4242726313216
3.75,3.7505745719710433,7.6897025453265355,23.710088898673302,1018.4784925761162
4.05,4.05051543507621,7.6541258743328111,24.04660186915677,1018.7477706009883
4.35,4.3503841304224995,7.5663526003317338,24.313917207027735,1018.9691549911406
4.6499999999999995,4.6502087815832347,7.5362441457187366,24.407468941584927,1019.0474760963505
4.9499999999999993,4.94998963114291,7.5320201809029959,24.685536168055805,1019.2673409199874
5.2499999999999991,5.2497228067932991,7.5496446451344958,24.820042058157043,1019.3720473296679
5.55,5.5494389103328654,7.55031570190347,24.833417395365839,1019.3838452249619
5.85,5.8491500787737172,7.5443885144378955,24.858994331429784,1019.4060049599806
6.1499999999999995,6.1488525919861061,7.53204466393932,24.902648907446494,1019.4431115978215
6.4499999999999993,6.4485415441613565,7.5149235767960949,24.969078671698188,1019.4986513778053
6.7499999999999991,6.7482172032347663,7.5182208382552869,25.012823034514515,1019.5339416025952
7.0499999999999989,7.0478810194332686,7.5321328956560993,25.071462848094949,1019.5796224095495
7.35,7.3475226058861578,7.5495499819497587,25.207584058641906,1019.6856103344959
7.6499999999999995,7.6471186402907421,7.5437017965998558,25.465716538115295,1019.8900841437373
7.9499999999999993,7.9466414291286513,7.5168752670288086,25.83559538601553,1020.1847788969325
8.25,8.246102427622338,7.4694557731839319,25.987827908674141,1020.3113825184755
8.5499999999999989,8.5455251052451455,7.4113488197326669,26.148989014950004,1020.4463150271359
8.85,8.8449181981870755,7.3537121308697246,26.223764680855229,1020.5134216119461
9.1499999999999986,9.1442923655532962,7.3066099740510584,26.294073606862522,1020.5757257063888
9.45,9.4436422855535849,7.2460361474644293,26.414687367688565,1020.6791407241784
9.75,9.7429625805064521,7.1620048236378135,26.526079828310596,1020.7781446988421
10.049999999999999,10.04223348350785,7.1520927288464655,26.826302545426536,1021.016475298659
10.35,10.341427623845233,7.1333084106445312,27.185702876841567,1021.3023970531883
10.649999999999999,10.640531501894744,7.084798003411418,27.597524686230795,1021.6331989149664
10.95,10.939547548632199,7.0644635768276745,27.935786757653656,1021.9028476182828
11.25,11.23848470252913,7.04260529034047,28.274249920967076,1022.1728990538734
11.549999999999999,11.537355971019366,6.9728020552262571,28.491709824705406,1022.353827468064
11.85,11.836182535070176,6.9122668713833439,28.639849983936212,1022.4791400981052
12.149999999999999,12.134954484376429,6.8834941120112081,28.95008061050202,1022.7280287085706
12.45,12.433682618275347,6.8840298927824417,29.013816404086054,1022.779476613756
12.75,12.732383374347208,6.8995725713834384,29.1879776756478,1022.915908740793
13.049999999999999,13.031047571169252,6.8640543876105191,29.32601078274179,1023.030274428816
13.35,13.32966963876804,6.8368444442749023,29.541993959812327,1023.2049454279901
13.649999999999999,13.628242384210308,6.85504578867397,29.751251415750129,1023.3686853687566
13.95,13.926767088236774,6.9117218815639454,29.9695706216531,1023.5346886562269
14.249999999999998,14.22524943527772,7.0079778387357861,30.142105267615658,1023.659540097165
14.549999999999999,14.52367790037874,7.1330954540678713,30.472691001124964,1023.9047251338964
14.85,14.822029468143857,7.316433042014439,30.861624171126131,1024.1876799442555
15.149999999999999,15.12031711655316,7.5555103474671244,31.09984241225861,1024.3439683534482
15.45,15.418594256989033,7.7838032372008294,31.03145328834162,1024.2602278983568
15.749999999999998,15.716875443599514,7.9072884706409416,31.123479677444191,1024.3165660079881
16.05,16.015140381623752,8.0194282239455941,31.212860493710963,1024.3722172834234
16.35,16.313388624464121,8.1175107394604531,31.304714133359756,1024.4316357398691
16.650000000000002,16.611623135416956,8.2008583359222538,31.363278300526751,1024.4669402198231
16.95,16.909849283493507,8.26805162212106,31.402687649497135,1024.4894797413278
