% Device,CC1747002
% File name,CC1747002_20230427_094624
% Cast time (UTC),2023-04-27 09:46:24
% Cast time (local),2023-04-27 09:46:24
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8763221
% Start longitude,10.6775185
% Start altitude,44.430000305175781
% Start GPS horizontal error(Meter),1.5099999904632568
% Start GPS vertical error(Meter),2.4900000095367432
% Start GPS number of satellites,8
% End latitude,59.8762537
% End longitude,10.6781341
% End altitude,23.25
% End GPS horizontal error(Meter),3.0899999141693115
% End GPS vertical error(Meter),5.6100001335144043
% End GPS number of satellites,7
% Cast duration (Seconds),463.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.15006091132237193,7.7638604856001123,23.161667441398119,1018.0233722615299
0.44999999999999996,0.45013645903357563,7.4678316811511625,23.407195975046992,1018.2519463983313
0.74999999999999989,0.75018006197646281,7.4544013146966668,23.425018272477487,1018.2688742313511
1.05,1.0502168185005016,7.4762360019086511,23.464655512517233,1018.2988036814114
1.35,1.3502545809148669,7.5060375559664232,23.420899074606922,1018.2624333367629
1.65,1.6503013379361138,7.4763028194263823,23.383700115769525,1018.2381393280394
1.9500000000000002,1.9503358266580093,7.4667923960316616,23.51823740735615,1018.3460968722654
2.25,2.2503717230495224,7.486403800469521,23.369934133899676,1018.2289719463499
2.55,2.5504220245721041,7.4654421207102271,23.390215270964802,1018.2487030683114
2.85,2.8504641553957808,7.4636890616383074,23.43424407290523,1018.2848158512575
3.15,3.1504915749964377,7.44964848975532,23.512194586737245,1018.3489479980545
3.4499999999999997,3.4505151404250842,7.4440094639516108,23.461628693744807,1018.3113641137021
3.75,3.750535880224513,7.4367426977405549,23.531677427573577,1018.3685169458288
4.05,4.0505349469177645,7.434971533702206,23.644915752745156,1018.4588905608465
4.35,4.3504809369057051,7.4406187197590157,23.98898255303012,1018.7293600300496
