% Device,CC1747002
% File name,CC1747002_20230427_110529
% Cast time (UTC),2023-04-27 11:05:29
% Cast time (local),2023-04-27 11:05:29
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8653387
% Start longitude,10.6460712
% Start altitude,18.329999923706055
% Start GPS horizontal error(Meter),2.7100000381469727
% Start GPS vertical error(Meter),3.309999942779541
% Start GPS number of satellites,6
% End latitude,59.8650057
% End longitude,10.6462575
% End altitude,44.2599983215332
% End GPS horizontal error(Meter),3.7200000286102295
% End GPS vertical error(Meter),4.28000020980835
% End GPS number of satellites,5
% Cast duration (Seconds),399.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.15007910023405882,7.9930705390222645,23.02974863210299,1017.8925440499806
0.44999999999999996,0.45022395064225595,7.8791582326401839,23.080927575993812,1017.9477606198119
0.74999999999999989,0.75036252932729663,7.8826234453168667,23.078846844122179,1017.9471114682829
1.05,1.0505017530533745,7.90307504138436,23.075942500564363,1017.9437716501113
1.35,1.3506420427261359,7.9042628528335017,23.0698644400534,1017.9402674655171
1.65,1.6507823701270064,7.8900640435358138,23.070539064017343,1017.9439021690248
1.9500000000000002,1.9509218860289752,7.8868983361728544,23.071150924767171,1017.9461583784196
2.25,2.2510603172458343,7.8914665715754273,23.077081141131757,1017.9516461992128
2.55,2.5511991660837108,7.8971003462826586,23.06602730587629,1017.9437120318821
2.85,2.8513382503965135,7.8932403295905473,23.072239452667876,1017.9504353578326
3.15,3.1514755622311084,7.8930997059745556,23.077698928177412,1017.9561215213755
3.4499999999999997,3.4516043469682205,7.8911064981823991,23.142741180397078,1018.0086660977906
3.75,3.7517174378706866,7.8688472592885876,23.206912102236057,1018.0629747053091
4.05,4.0518201498218342,7.8574796224028871,23.224449154147585,1018.0794679729404
4.35,4.351907591056511,7.8442166006697915,23.332413627092759,1018.1669789467863
4.6499999999999995,4.651967059210862,7.78384589078959,23.452531995124751,1018.2696849082705
4.9499999999999993,4.95197522596805,7.7554818220384094,23.7604515269027,1018.5156201493758
5.2499999999999991,5.2519038649078151,7.6140885873698689,24.112962688397705,1018.81014906171
5.55,5.5517678873707794,7.5281667518783433,24.282900015791832,1018.9549890189076
5.85,5.8515757130641886,7.5299712220708344,24.584428479309945,1019.1925168430433
6.1499999999999995,6.1513211063391022,7.5454671268450868,24.824053761607377,1019.3798801465571
6.4499999999999993,6.4510063244929574,7.5566555995043734,25.107675082004285,1019.6022443645672
6.7499999999999991,6.7506426051248445,7.5684605650578423,25.249354485003355,1019.7132614973937
7.0499999999999989,7.050252299569177,7.5547054088846846,25.335145790172124,1019.7835885218407
7.35,7.3498350959470917,7.5287843517922761,25.473692623500547,1019.8967687251657
7.6499999999999995,7.6493883474070223,7.5004250106029051,25.58021150673391,1019.985146630936
7.9499999999999993,7.9489161098891312,7.4721832810157869,25.683192779125278,1020.0707438431815
