% Device,CC1747002
% File name,CC1747002_20230427_090408
% Cast time (UTC),2023-04-27 09:04:08
% Cast time (local),2023-04-27 09:04:08
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.9048457
% Start longitude,10.650652
% Start altitude,45.279998779296875
% Start GPS horizontal error(Meter),2.2000000476837158
% Start GPS vertical error(Meter),3.0899999141693115
% Start GPS number of satellites,6
% End latitude,59.905028
% End longitude,10.65099
% End altitude,41.0099983215332
% End GPS horizontal error(Meter),2.2400000095367432
% End GPS vertical error(Meter),2.630000114440918
% End GPS number of satellites,6
% Cast duration (Seconds),315.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.15044462944038864,9.7034861597479676,20.147176505598733,1015.4247982568592
0.44999999999999996,0.45110713246149015,7.3464585434129308,21.627306598725422,1016.8705553061313
0.74999999999999989,0.75154831819584145,7.2361826760163277,21.711548986937792,1016.9500937858855
1.05,1.0519627236062936,7.2023088040662167,21.8353162193844,1017.0522470120138
1.35,1.35235477771258,7.2065155924076736,21.897323233020824,1017.1018197713564
1.65,1.6527254464648875,7.2214563966117522,22.019575675401921,1017.1974607773917
1.9500000000000002,1.953033604198031,7.2386882634852032,22.438773901032448,1017.5257054279223
2.25,2.2531818595714554,7.31693192977352,23.412709914935792,1018.2820602342356
2.55,2.5531407024688595,7.515995469866656,24.115775910842551,1018.8114796903967
2.85,2.8530018909887045,7.5842013653424365,24.295655155157053,1018.9457273109599
3.15,3.1528350135331507,7.6059321376922133,24.369780831204931,1019.0026037422604
3.4499999999999997,3.4526393815004903,7.6328510713491369,24.549499430442463,1019.1415835760192
3.75,3.752410547558279,7.6316435058084142,24.658734855576146,1019.2287242135334
4.05,4.0521567918770289,7.5858167723084566,24.755421996975105,1019.3114456029878
4.35,4.3518749466942666,7.569440049549641,24.889819970317358,1019.4201646810552
4.6499999999999995,4.6515677471292776,7.5844183140503327,24.972193953979577,1019.4843077396623
4.9499999999999993,4.9512329678222891,7.5532005390739139,25.123636833460697,1019.608207850983
5.2499999999999991,5.2508760023775318,7.5423999044377528,25.155209684126874,1019.6356656792024
5.55,5.5505141523263228,7.535969174860357,25.160307807803612,1019.641837631413
5.85,5.8501507377977795,7.526866768647186,25.163322519555745,1019.6467003066497
6.1499999999999995,6.1497804588418159,7.5343864504019775,25.216594702623091,1019.6889450070554
6.4499999999999993,6.4493941528780514,7.5447352281074389,25.302182975508739,1019.7561772516881
6.7499999999999991,6.7489946267004131,7.5263397426018326,25.327068569002485,1019.7793229227892
7.0499999999999989,7.0485865318702228,7.5236993293059076,25.3702553196125,1019.8148976008602
7.35,7.3481617136861193,7.50968432237853,25.466638485451355,1019.8935697983764
7.6499999999999995,7.6477162333094393,7.4850975947099352,25.540625102741835,1019.9559752852705
7.9499999999999993,7.9472482307583681,7.463315740013809,25.651967464661539,1020.0473378379211
8.25,8.2467485244375585,7.442722546917321,25.806337519361293,1020.172311641381
8.5499999999999989,8.5462152580467432,7.4158092771068596,25.9330295273352,1020.2763621219605
8.85,8.8456502682472067,7.4140064868314548,26.074404309905976,1020.3888735177378
9.1499999999999986,9.14505610565073,7.3946025789177634,26.180129272002958,1020.4755804079226
9.45,9.4444403809063733,7.3587129606785551,26.250082207572348,1020.5362454097726
9.75,9.7438048277282725,7.3361458456609085,26.340262342788193,1020.6111553736027
10.049999999999999,10.043134269509226,7.2502859564098365,26.534358562465119,1020.775345024035
10.35,10.342399642500729,7.1545736798919082,26.865822384950228,1021.0486003640327
10.649999999999999,10.641597840199763,7.10110798433917,27.092037586452054,1021.2341386253454
10.95,10.940715795868348,7.0273964407650666,27.54064459487206,1021.5969029800374
11.25,11.239726129062429,6.9546722500486782,28.00211126925867,1021.969804376599
11.549999999999999,11.538653772575851,6.94852241423264,28.244570627972603,1022.1625348966305
11.85,11.837538865749483,6.9150255569374925,28.363076540188626,1022.2611890711492
12.149999999999999,12.136384531700415,6.8715436437490682,28.572614183261951,1022.4326571114451
12.45,12.435177476105004,6.8579378791214474,28.809954893848246,1022.6223637266423
12.75,12.733931732400158,6.845316745226576,28.902209474439811,1022.6978614683013
13.049999999999999,13.032653586108145,6.8432786411910929,29.08670775581961,1022.8446173650885
13.35,13.331326636115726,6.8602356261834121,29.326474189440745,1023.0325020721292
13.649999999999999,13.629953085812236,6.8935897645601427,29.497494440353535,1023.1642540682959
13.95,13.928531418827078,6.963643167934495,29.7591843708386,1023.3626516274163
14.249999999999998,14.227076501097452,7.0447876291557217,29.808555158547847,1023.3925579386443
14.549999999999999,14.525596053408073,7.0901598873295608,29.99928784162724,1023.5380926914853
14.85,14.824051915305029,7.17363340564616,30.382331235495528,1023.8297929319463
15.149999999999999,15.122408147925915,7.3183094940152049,30.904094374225259,1024.2221880285256
15.45,15.42067202764259,7.6622983044383881,31.269977589389729,1024.4642845987228
15.749999999999998,15.718921235516531,7.9275359022852738,31.135743195117907,1024.3233396695123
16.05,16.017173802193735,8.0116287526995382,31.299912312007265,1024.4415979053667
16.35,16.315400947864532,8.10342919418317,31.387241483438725,1024.4983612300912
16.650000000000002,16.613607398047566,8.1870042881649674,31.510290987011551,1024.5841852992378
16.95,16.911800274626525,8.3018793865086344,31.539808622796915,1024.5920201087827
17.25,17.209989202314414,8.3583597892819412,31.573720441059717,1024.6117115312743
17.55,17.50816753773951,8.39185014292032,31.646514399108966,1024.66520481324
17.85,17.806331481195077,8.4374140800889048,31.71180793035111,1024.7110161938876
18.150000000000002,18.104482470880182,8.4902774961738441,31.775729360779479,1024.7546332123102
18.45,18.402624528012133,8.5475567410122082,31.808065214151121,1024.7728080731069
18.75,18.700763240491604,8.6033771786198159,31.823617934078388,1024.778014641304
19.05,18.998899161726182,8.6397836079214834,31.847196297301583,1024.7923857806613
19.35,19.297028555837763,8.67065498209317,31.890833447611559,1024.8232766092722
19.650000000000002,19.59515165227306,8.7024106842843612,31.911546962483875,1024.8360714830867
19.95,19.893264974501086,8.7196161192945869,31.983119903544921,1024.890869185145
20.25,20.191364497712936,8.7637839364690748,32.041636947302209,1024.9313419609091
20.55,20.489463487653016,8.8528201500577275,32.010708698765391,1024.8949250431415
20.85,20.787568823338752,8.8948152282055766,32.008453181225256,1024.8880957374586
21.150000000000002,21.0856685544478,8.897221032647705,32.065656002502521,1024.933853223632
21.45,21.383757205510943,8.9083226800508584,32.1054817738357,1024.9646770241295
21.75,21.681839511218058,8.9151430937364076,32.121946130580987,1024.9778788055032
22.05,21.979916820341359,8.9148770665464685,32.147686981697348,1024.9994289696995
22.35,22.277987635317132,8.9254386610512189,32.178055923066658,1025.0229315053562
22.650000000000002,22.576050812606766,8.9400561892227355,32.216788944715937,1025.0523489934437
22.95,22.874107647854483,8.96582766970552,32.238784940937315,1025.066941892034
23.25,23.172162695464984,8.9888223417658359,32.239149643245391,1025.0650339974409
23.55,23.470218559735205,8.9922952364262763,32.233843962319845,1025.0617137065099
23.85,23.768273185538703,8.9799053145081409,32.24527100904244,1025.0739418265002
24.150000000000002,24.066323251996575,8.9695178489112468,32.266419944406564,1025.0934645024388
24.45,24.364367494540538,8.97186291497253,32.291886249403305,1025.1143923154039
24.75,24.662405151985368,8.9865932894068727,32.32470872473796,1025.1391529714688
25.05,24.9604379510471,9.0026419391615082,32.3377159364087,1025.1482035643553
